RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [2%@2035,off,off,96%@2035,0%@2035,1%@2035] EMC_FREQ 0% GR3D_FREQ 4% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@32C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/595 VDD_4V0_WIFI 0/0 VDD_IN 3717/3475 VDD_SYS_CPU 996/902 VDD_SYS_DDR 932/866
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [2%@2035,off,off,97%@2035,0%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 4% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@32C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/596 VDD_4V0_WIFI 0/0 VDD_IN 3717/3485 VDD_SYS_CPU 996/906 VDD_SYS_DDR 952/869
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [1%@2035,off,off,0%@2035,97%@2035,1%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@36.5C MCPU@36.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@36.5C thermal@35C Tdiode@32C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/596 VDD_4V0_WIFI 0/0 VDD_IN 3755/3496 VDD_SYS_CPU 1072/913 VDD_SYS_DDR 952/872
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [2%@2035,off,off,25%@2035,72%@2035,1%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@35.3C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/597 VDD_4V0_WIFI 0/0 VDD_IN 3755/3506 VDD_SYS_CPU 1072/919 VDD_SYS_DDR 913/874
RAM 4922/7860MB (lfb 123x4MB) SWAP 220/3930MB (cached 11MB) CPU [1%@2035,off,off,99%@2035,0%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/598 VDD_4V0_WIFI 0/0 VDD_IN 3793/3516 VDD_SYS_CPU 1149/927 VDD_SYS_DDR 894/875
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [1%@2035,off,off,9%@2035,72%@2035,18%@2035] EMC_FREQ 0% GR3D_FREQ 8% PLL@36C MCPU@36C PMIC@100C Tboard@31C GPU@33.5C BCPU@36C thermal@35C Tdiode@32C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/598 VDD_4V0_WIFI 0/0 VDD_IN 3602/3520 VDD_SYS_CPU 996/930 VDD_SYS_DDR 894/875
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [4%@2035,off,off,2%@2035,7%@2035,92%@2035] EMC_FREQ 0% GR3D_FREQ 6% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@35C Tdiode@32C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/598 VDD_4V0_WIFI 0/0 VDD_IN 3488/3518 VDD_SYS_CPU 843/927 VDD_SYS_DDR 894/876
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [37%@2035,off,off,0%@2035,4%@2035,59%@2035] EMC_FREQ 0% GR3D_FREQ 7% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/599 VDD_4V0_WIFI 0/0 VDD_IN 3525/3519 VDD_SYS_CPU 843/924 VDD_SYS_DDR 913/877
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [93%@2035,off,off,0%@2035,0%@2035,2%@2035] EMC_FREQ 0% GR3D_FREQ 6% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@32C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/599 VDD_4V0_WIFI 0/0 VDD_IN 3525/3519 VDD_SYS_CPU 843/921 VDD_SYS_DDR 932/879
RAM 4961/7860MB (lfb 114x4MB) SWAP 220/3930MB (cached 11MB) CPU [95%@2035,off,off,0%@2035,0%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 4% PLL@35.5C MCPU@35.5C PMIC@100C Tboard@31C GPU@33.5C BCPU@35.5C thermal@34.7C Tdiode@32.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 612/600 VDD_4V0_WIFI 0/0 VDD_IN 3678/3524 VDD_SYS_CPU 996/924 VDD_SYS_DDR 971/882
